VDBName,SchemaName,Name,TABLE_TYPE,Description,TYPE_CAT,TYPE_SCHEM,TYPE_NAME,SELF_REFERENCING_COL_NAME,REF_GENERATION,IsPhysical
a1epdm10-88-107-253,SYS,Columns,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,DataTypes,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,FunctionParams,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Functions,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,GEOMETRY_COLUMNS,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,SYS,KeyColumns,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Keys,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,ProcedureParams,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Procedures,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Properties,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,ReferenceKeyColumns,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Schemas,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,Tables,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,VirtualDatabases,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYS,spatial_ref_sys,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,SYSADMIN,MatViews,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYSADMIN,StoredProcedures,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYSADMIN,Triggers,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYSADMIN,Usage,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYSADMIN,VDBResources,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,SYSADMIN,Views,SYSTEM TABLE,null,null,null,null,null,null,true
a1epdm10-88-107-253,pg_catalog,matpg_datatype,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,matpg_relatt,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_am,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_attrdef,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_attribute,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_class,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_database,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_description,SYSTEM TABLE,null,null,null,null,null,null,false
a1epdm10-88-107-253,pg_catalog,pg_index,SYSTEM TABLE,null,null,null,null,null,null,false
